"name","quantity","weightingms","weight_category"
"Zorabian Chicken Smoked Ham",250,250,"LOW"
"Mother's Recipe Pickle - Mango",500,500,"LOW"
"Mother's Recipe Pickle - Mixed",500,500,"LOW"
"Pampers All Round Protection Pants - Medium",50,50,"LOW"
"Sugarfree Gold Low Calorie Sweetner ",50,50,"LOW"
"Popular Essentials Sona Masouri Steam Rice",1,1000,"medium"
"Unibic Choco Nut Cookies",75,75,"LOW"
"Britannia Pure Magic Choco Lush Cookies",300,300,"LOW"
"MTR 3 Minute Breakfast - Magic Masala Upma",60,60,"LOW"
"Kelloggs Corn Flakes",250,250,"LOW"
"Everest Pav Bhaji Masala",100,100,"LOW"
"Britannia Treat Creme Wafers - Vanilla",1,60,"LOW"
"Kitchens Of India Rajma Masala",285,285,"LOW"
"24 Mantra Super Grain Quinoa",500,500,"LOW"
"RRO Cheddar Block Cheese",200,200,"LOW"
"RRO Sour Cream",200,200,"LOW"
"Patanjali Kesh Kanti Shikakai Hair Cleanser",200,200,"LOW"
"Switz Spring Roll Dough Sheets",20,1160,"medium"
"Hem Mantra Masala Agarbatti",50,50,"LOW"
"Gits Dessert Mix China Grass Bombay Halwa",80,80,"LOW"
"Flying Bird Premium Orange Artificial Food Essence",20,20,"LOW"
"Britannia Good Day Cashew Cookies",100,100,"LOW"
"The Whole Truth Mini Protein Bar - Peanut Butter No Added Sugar",27,27,"LOW"
"Fortune Soyabean Oil",5,5000,"bulk"
"Moi Soi Sichuan Chilli Oil- For Stir Fry Marinade Spread & Dip",175,175,"LOW"
"Whisper Choice Regular Sanitary Pads",20,1160,"medium"
"Popular Essentials Green Cardamom (Elaichi)",50,50,"LOW"
"Mother's Recipe Mixed Pickle",300,300,"LOW"
"Wingreens Farms Chipotle Dip",180,180,"LOW"
"Durex Mutual Climax Condoms",10,580,"LOW"
"Praakritik Organic Garlic Powder",100,100,"LOW"
"Safal Frozen - Sweet Corn",1,1000,"medium"
"Flying Bird Vanilla Essence",20,20,"LOW"
"MTR Idli/Dosa/Chilly Chutney Powder",200,200,"LOW"
"Aashirvaad Instant Mix - Rice Dosa",200,200,"LOW"
"Pineapple",1,58,"LOW"
"Tong Garden Wasabi Green Peas",150,150,"LOW"
"Fogg Royal Fragrance Spray",120,150,"LOW"
"Arden Desi Eggs",6,348,"LOW"
"Livon Anti-Frizz Serum",100,100,"LOW"
"Praakritik Organic Basmati Rice",500,500,"LOW"
"Amul Processed Cheese Cubes",200,200,"LOW"
"Dettol Original Soap (B4G1)",625,625,"LOW"
"ITC Master Chef Veggie Pizza Pocket",340,340,"LOW"
"Dove Hair Fall Rescue Conditioner",175,175,"LOW"
"Pediasure Premium Chocolate Powdered Health Drink",400,400,"LOW"
"Apple Kinnaur",4,232,"LOW"
"Go Cheese Processed Angles Plain",160,160,"LOW"
"Lijjat Urad Papad",200,200,"LOW"
"The Laughing Cow Cheese Spread Plain",180,180,"LOW"
"Veeba Cheese and Chilli Sandwich Spread",275,275,"LOW"
"Fortune Sunlite Refined Sunflower (Pouch)",1,1000,"medium"
"Durex Extra Thin Condoms",10,580,"LOW"
"Origami Good Karma Paper Serviettes - 100 napkins (1 ply)",1,58,"LOW"
"Johnson's Baby Soap",100,100,"LOW"
"Pantai Coconut Cream",400,400,"LOW"
"Ching's Secret Manchow Soup",55,55,"LOW"
"Banana Red",500,500,"LOW"
"Satyam Makhana",100,100,"LOW"
"Surf Excel Quick Wash",4,4000,"medium"
"Amulya Dairy Whitener ",1,1000,"medium"
"Whiskas Wet  Meal (Adult - Cat Food)  Chicken in Gravy",85,85,"LOW"
"Bio Nutrients Pure Diet Tofu Gold ",200,200,"LOW"
"Whisper Choice Sanitary Pad ",7,406,"LOW"
"Madhur Sugar",1,1000,"medium"
"Zama Organics Sweet Potato",250,250,"LOW"
"Origami Plates Plain",100,100,"LOW"
"Remia Mayonnaise",241,241,"LOW"
"Dettol Original Liquid Handwash Refill",750,750,"LOW"
"Watermelon ",1,58,"LOW"
"Gala Iron Bull Scrub Pad",3,174,"LOW"
"Fogg Paradise Fragrant Body Spray For Women ",150,150,"LOW"
"Vaseline Intensive Care Aloe Fresh",200,200,"LOW"
"Dove Daily Shine Conditioner",80,80,"LOW"
"Nestlé CERELAC Baby Cereal with Milk",300,300,"LOW"
"Harpic Power Fresh 6 Toilet Cleaner Rim Block Marine Splash",35,35,"LOW"
"Vaseline Intensive Care Deep Moisture Body Lotion",400,400,"LOW"
"Veeba Carrot & Cucumber Sandwich Spread",250,250,"LOW"
"Uno Playing Card Game",1,58,"LOW"
"Fevicol Mr.Original General Purpose White Glue ",100,105,"LOW"
"Stayfree Secure XL Size Sanitary Napkins",20,1160,"medium"
"Colgate Sensitive Plus Anticavity Toothpaste ",70,70,"LOW"
"Johnson's Baby Oil",200,200,"LOW"
"McCain Veggie Burger Patty",360,360,"LOW"
"India Gate Basmati Rice",1,1000,"medium"
"Britannnia 50-50 Sweet & Salty Biscuit",200,200,"LOW"
"Moov Cream Regular",10,10,"LOW"
"Fresh Chicken Whole Leg - Skinless (Halal)",500,500,"LOW"
"The Whole Truth Vegan Mocha Almond Fudge Energy Bar No Sugar",40,40,"LOW"
"Popular Essentials Pink Rajma",500,500,"LOW"
"Godrej Real Good Marinated Hot & Grill Chicken",450,450,"LOW"
"Flying Bird Pineapple Artifical Food Essence",20,20,"LOW"
"Popular Essentials White Peas (Un-Polished)",500,500,"LOW"
"Popular Essentials Chia Seeds",100,100,"LOW"
"Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings",7,406,"LOW"
"Zorabian Pre Cut Chicken Skinless (Half)",500,500,"LOW"
"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g",120,120,"LOW"
"Johnson's Baby Skincare Wipes",72,72,"LOW"
"Soulfull Vanilla Fills - Ragi Bites",250,250,"LOW"
"Del Monte Natural Vinegar ",180,180,"LOW"
"Godrej Real Good Chicken Marinated Lollipop ",10,580,"LOW"
"Everest Garam Masala",200,200,"LOW"
"Bagrrys Fruit N Fibre Muesli Mixed Fruit",500,500,"LOW"
"Dhara Groundnut Oil (Pouch)",1,1000,"medium"
"Mamaearth Moisturizing Baby Bath Soap",150,150,"LOW"
"Cadbury Oreo Strawberry Bicuits",120,120,"LOW"
"D'lecta Cream Cheese",150,150,"LOW"
"Pampers Premium Care Pants - Medium",54,54,"LOW"
"Everest Black Pepper Powder",100,100,"LOW"
"Tata Sampann Unpolished Urad Whole",500,500,"LOW"
"Gala Double Hockey Toilet Brush",1,58,"LOW"
"Scotch Brite Sponge Wipe",5,290,"LOW"
"24 Mantra Organic Jowar Flour",500,500,"LOW"
"ITC Master Chef Chicken Galouti Kebab",210,210,"LOW"
"Parachute Advansed Gold Coconut Hair Oil",400,400,"LOW"
"Suguna Nourish Egg",12,696,"LOW"
"Bagrrys Corn Flakes",800,880,"LOW"
"Funfoods Peanut Butter Creamy",400,400,"LOW"
"Revive Revive Liquid",200,200,"LOW"
"Borges Canola Oil Pet Bottle",1,1000,"medium"
"Wingreens Farms Tangy Cheese Pita Chips & Mexican Salsa Dip",70,70,"LOW"
"Shubh kart - Nirmal Eco Box Sugandhi Mogra Agarbatti - 100g",100,100,"LOW"
"Kiwi Dranex Drain Cleaner",6,348,"LOW"
"Dove Dryness Care Conditioner Frizzy & Dry Hair",80,80,"LOW"
"Sunsilk Lusciously Thick & Long Shampoo",650,650,"LOW"
"Glow & Lovely Advanced Multivitamin Face Cream",110,110,"LOW"
"Happilo Premium Afghani Anjeer",200,200,"LOW"
"24 Mantra Organic Tur Dal",1,1000,"medium"
"Vaseline Skin Protecting Jelly",50,50,"LOW"
"Popular Essentials Masoor Dal Split (Un-Polished)",500,500,"LOW"
"Om Bhakti Wick for Diya - Cotton Long Batti ",50,50,"LOW"
"The Whole Truth Mini Protein Bar - Coffee Cocoa No Added Sugar",27,27,"LOW"
"RRO Mozzarella Pizza Cheese",200,200,"LOW"
"Carrot",500,500,"LOW"
"Everest Kasuri Methi",25,25,"LOW"
"Ceres Foods Laal Maas Instant Liquid Masala",200,200,"LOW"
"Epigamia Fruit Yogurt Alphonso Mango",75,75,"LOW"
"Pears Pure And Gentle Value Pack Of 3 Bathing Soap",375,375,"LOW"
"Britannia Toastea Premium Bake Rusk",182,182,"LOW"
"Amul Dark Compound Chocolate Slab",500,500,"LOW"
"Himalaya Cold Balm",45,45,"LOW"
"McCain Crazy Fries Masala MixHot 'n' Tangy",400,400,"LOW"
"Lotte Choco Pie Chocolate Cake",56,56,"LOW"
"Old Spice Lime Lather Shaving Cream",70,70,"LOW"
"Maggi Magic Cubes Extra Chicken",48,48,"LOW"
"RRO Primio Refined Groundnut Oil Pet Bottle",1,1000,"medium"
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",1,1200,"medium"
"Apple Shimla",4,232,"LOW"
"24 Mantra Organic Cumin",100,100,"LOW"
"Kellogg's Real Almond & Honey Corn Flakes",650,650,"LOW"
"Hershey's Caramel Syrup",623,623,"LOW"
"Britannia Good Day Cashew Cookies",1,1000,"medium"
"Godrej Real Good Chicken Legs ",2,116,"LOW"
"Smith & Jones Pasta Masala",108,108,"LOW"
"Om Bhakti Kumkum ",15,15,"LOW"
"Tata Sampann Unpolished Toor Dal/Arhar Dal",200,1000,"medium"
"Saffola Oats 100 % Natural",38,38,"LOW"
"Dabur Hajmola Maha Candy - Aam+Imli",130,130,"LOW"
"Popular Essentials Ajwain Whole",50,50,"LOW"
"Suguna Active - DHA",6,348,"LOW"
"Om Bhakti Haldi ",15,15,"LOW"
"The Bake Shop Maska Khari",100,200,"LOW"
"Bauli Moonfils Veg - Strawberry",47,45,"LOW"
"Godrej Aer Pocket, Bathroom Air Fragrance - Assorted Pack Of 3",30,30,"LOW"
"Pampers Premium Care Pants - Large",44,44,"LOW"
"Kelloggs Chocos - Moons & Stars",1,1200,"medium"
"Dabur Chyawanprash Immunity Booster",500,500,"LOW"
"Pedigree Dentastix  Dog Treat Oral Care for Adult Medium Breed ",180,180,"LOW"
"Orange Nagpur",4,232,"LOW"
"Odonil Room Air Freshener Spray - Lavender Mist",137,137,"LOW"
"Lijjat Moong Papad",200,200,"LOW"
"Open Secret White Choco Story Box",75,75,"LOW"
"Mother's Recipe Ginger And Garlic Paste",200,200,"LOW"
"Origami Kitchen Towels 2 In 1 Quilted 2ply",2,116,"LOW"
"Origami Good Karma Paper Serviettes ",50,50,"LOW"
"Popular Essentials Californian Almond",250,250,"LOW"
"Organic India Organic Chyawanprash",500,500,"LOW"
"Nivea Men Deodorant Fresh Active 48h Long lasting Freshness",150,150,"LOW"
"Top Ramen Masala Oat Masala",280,280,"LOW"
"Santoor Almond Soft With Sandal & Almond Milk",625,625,"LOW"
"Cornitos Peanut - Premium Salted ",150,150,"LOW"
"Britannia Milk Bikis Cream Biscuit",500,500,"LOW"
"The Bake Shop Whole Wheat Bread Sticks",100,100,"LOW"
"Popular Essentials Saunf/Fennel Seeds",100,100,"LOW"
"Durex Condoms Mutual Climax",3,174,"LOW"
"Veet Hair Removal Cream Dry Skin",50,50,"LOW"
"Colgate Zigzag Charcoal Soft Bristle Toothbrush - 4 Pcs",4,232,"LOW"
"Raw Banana",500,500,"LOW"
"Popular Essentials Green Moong Whole",500,500,"LOW"
"Ariel Matic Front Load Liquid Detergent",1,1000,"medium"
"Pantene Adv Hairfall Solution Conditioner Silky Smooth",200,200,"LOW"
"Veeba Chipolte Southwest Dressing",300,300,"LOW"
"Go Cheese Spread - Four Pepper (Soft & Creamy)",200,200,"LOW"
"Everest Cumin Powder (Jeera)",50,50,"LOW"
"Dhara Life Refined Ricebran Oil (Pouch)",1,1000,"medium"
"Surf Excel Easy Wash Detergent Liquid",1,1000,"medium"
"Pantai Green Curry Paste",114,114,"LOW"
"Kellogg’s Chocos Protein And Fibre Of 1 Roti",1,1200,"medium"
"Dove Cream Beauty Bathing Bar",125,125,"LOW"
"Moi Soi Kung Pao Sauce - For Stir Fry Marinade Spread & Dip",175,175,"LOW"
"The Whole Truth Cranberry Protein Bar No Sugar",52,52,"LOW"
"Colgate Zig Zag Charcoal Medium Toothbrush 4 Pcs",4,232,"LOW"
"Ching's Secret Instant Schezwan Noodles",60,60,"LOW"
"Dove Daily Shine Conditioner",180,175,"LOW"
"Delight Nuts Almond Natural ",200,200,"LOW"
"The Bake Shop Masala Lavash",200,100,"LOW"
"Wingreens Cheesy Chipotle Sauce",130,130,"LOW"
"The Bake Shop Premium White Sandwich Bread",400,400,"LOW"
"Broccoli",500,500,"LOW"
"Tata Sampann Moong Dal Split",200,1000,"medium"
"Fortune Soya Health Refined Soybean Oil",1,1000,"medium"
"Praakritik Organic Tuvar Dal",500,500,"LOW"
"Godrej Yummiez Cheese Corn Nuggets ",400,400,"LOW"
"Smith & Jones Red Pasta Sauce Mix",46,46,"LOW"
"Popular Essentials Popular Essential Pista Salted (With Shell)",100,100,"LOW"
"Quaker Oats",400,400,"LOW"
"Godrej Protekt",750,750,"LOW"
"Ching's Red Chilli Sauce",200,200,"LOW"
"McCain Super Wedges",400,400,"LOW"
"Banana Elaichi ",6,348,"LOW"
"Cabbage ",1,58,"LOW"
"Whiskas Adult Pocket Tuna Cat Food",1,1200,"medium"
"Dabur Chyawanprakash Sugar Free",500,500,"LOW"
"Scotch Brite Scrub Pad",5,290,"LOW"
"Zorabian Chicken Mince",450,450,"LOW"
"Britannia Multigrain Bread ",400,400,"LOW"
"Chakaachak Super Sponge Wipes (Pack of 3)",3,174,"LOW"
"Daawat Rozana Gold Basmati Rice",1,1000,"medium"
"Britannia 50-50 Maska Chaska Biscuits",120,120,"LOW"
"Quaker Oats",1,1000,"medium"
"Kellogg's Corn Flakes",1,1000,"medium"
"Tata Sampann High Protien Toor Dal - Split",500,500,"LOW"
"TGFC Catla Bengali Cut",500,500,"LOW"
"Surf Excel Matic Top Load",4,4000,"medium"
"Popular Essentials Salted Murmure ",400,400,"LOW"
"Spinach",250,250,"LOW"
"Dabur Honey - World's No.1",250,250,"LOW"
"Parle Monaco Classic Salty Biscuits",400,400,"LOW"
"Popular Essentials Toor Dal (Un-Polished)",1,1000,"medium"
"Amul Pizza Cheese Processed",200,200,"LOW"
"Everest Tikhalal Chilli Powder",500,500,"LOW"
"Shubh kart - Tejas Twisted Cotton Wicks 1000n",1000,1000,"medium"
"Britannia Treat Jimjam Family Pack (Buy 4 Get 1 Free)",500,500,"LOW"
"Bombay Shaving Company Charcoal Face Wash",100,100,"LOW"
"Banana Nendran",500,500,"LOW"
"Sunfeast Farmlite 5 Seed Digestive",250,250,"LOW"
"Nissin Cup Noodles Tangy Tomato",70,70,"LOW"
"Lijjat Udad Mini Papad",200,200,"LOW"
"Fiama Scents Juniper & Geranium Body Wash",250,250,"LOW"
"Colin Glass and Surface Cleaner Liquid Spray Regular",500,500,"LOW"
"Iodex Body Pain Expert ",8,8,"LOW"
"Santoor Total Skin Care Soap With Sandal & Turmeric",600,600,"LOW"
"Nestle A+ Actiplus Probiotic Dahi Plain Curd",400,400,"LOW"
"Radish White",500,500,"LOW"
"Durex Extra Thin Bubblegum Condom",10,580,"LOW"
"MTR Upma",160,160,"LOW"
"Tata Tea Gold",200,100,"LOW"
"Britannia Good Day Cashew Cookies",58,60,"LOW"
"Dabur Hommade - Ginger Garlic Past Tub",400,400,"LOW"
"Bell Peppers Red & Yellow ",2,116,"LOW"
"The Whole Truth Peanut Butter - Sweetened & Crunchy",325,325,"LOW"
"Britannia Atta Kulcha",250,250,"LOW"
"Top Ramen Masala",560,560,"LOW"
"Dettol Intense Cool Soap (B4G1)",625,625,"LOW"
"Garnier Color Naturals Crème Hair Color, Shade 5 Light Brown",100,100,"LOW"
"Godrej Expert Rich Crème, Dark Brown",20,20,"LOW"
"Aashirvaad Iodised Salt ",1,1000,"medium"
"Nestle Nestle Nan Pro Follow-Up Formula",400,400,"LOW"
"Yoga Bar Peanut Butter Dark Chocolate Jar",400,400,"LOW"
"Borges Farfalle Durum Wheat Pasta ",500,500,"LOW"
"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",172,172,"LOW"
"Dove Daily Shine Shampoo",650,650,"LOW"
"Bambino Popular Vermicelli ",400,400,"LOW"
"The Bake Shop Milk & Raisin Toast (Rusk)",200,200,"LOW"
"Mamaearth Skin Correct Face Serum",30,30,"LOW"
"Woodwards Gripe Water ",130,130,"LOW"
"L'Oreal Paris Casting Creme Gloss Hair Color, Medium Brown 500",159,160,"LOW"
"Himalaya Baby Nourishing Massage Oil",250,200,"LOW"
"Beans Cluster",250,250,"LOW"
"Kellogg's Original Corn Flakes",475,475,"LOW"
"Cadbury Oreo Dipped Biscuit",150,150,"LOW"
"Britannia Milk Bikis Biscuits Packet",200,200,"LOW"
"Capsicum",500,500,"LOW"
"ITC Master Chef Butter Chicken",80,80,"LOW"
"L'Oreal Paris Dream Lengths Conditioner",193,193,"LOW"
"Amul Unsalted Cooking Butter",500,500,"LOW"
"Godrej Yummiez Chilli Chicken Sausages ",250,250,"LOW"
"Moi Soi Manchurian Sauce - For Stir Fry Marinade Spread & Dip",175,175,"LOW"
"Gowardhan Ghee Jar",1,1000,"medium"
"McVitie's Butter Cookies",200,200,"LOW"
"Ching's Secret  Noodles - Pad Thai Lemongras",130,130,"LOW"
"The Whole Truth Vegan Almond Choco Fudge Energy Bar No Sugar",40,40,"LOW"
"The Bake Shop Whole Wheat Ladi Pav",200,200,"LOW"
"Maggi Imli Sauce Pichkoo",90,90,"LOW"
"Dabur Odomos Naturals Mosquito Repellant Gel",80,80,"LOW"
"RRO Mozzarella Block Cheese",200,200,"LOW"
"Durex Extra Ribbed Condoms",10,580,"LOW"
"Nivea Lip Balm Original Care for 24h Moisture with Shea Butter & Natural Oils",4,5,"LOW"
"ITC Master Chef Lebanese Falafel Kebab",230,230,"LOW"
"ITC Master Chef Vegetable Biryani Cooking Paste",80,80,"LOW"
"Figaro Pure Olive Oil",200,200,"LOW"
"Dabur Honey Squeezy",225,225,"LOW"
"Coriander Leaves",100,100,"LOW"
"Engage Urge Deodorant For Men, Citrus And Woody, Skin Friendly",150,150,"LOW"
"Kitchens Of India Murgh Methi",285,285,"LOW"
"Super Saver Kolam Rice Sortex Clean ",5,5000,"bulk"
"Ching's Chicken Chilli Masala",20,20,"LOW"
"Dhara Health Refined Sun Flower Oil Jar",5,5000,"bulk"
"McVitie's Marie biscuits with Goodness of Calcium",250,250,"LOW"
"Fiama Fresh Hand Wash",400,400,"LOW"
"24 Mantra Mustard Oil (Cold Pressed) ",1,1000,"medium"
"Philips EyePro 10.5W Light Bulb",1,58,"LOW"
"Dukes Waffy Chocolate Wafer Rolls ",250,250,"LOW"
"Dabur Ginger Garlic Paste",100,100,"LOW"
"Eastern Chicken Masala",100,100,"LOW"
"Carrot",200,250,"LOW"
"Nivea Creme, All Season Multi-Purpose Cream",100,100,"LOW"
"Britannia Treat Jimjam Cream Biscuits ",100,100,"LOW"
"Sumeru Aloo Paratha",400,400,"LOW"
"Om Bhakti Camphor Small",25,25,"LOW"
"Mother's Recipe Lime Pickle ",400,400,"LOW"
"Chakaachak Sponge Scrubber (Pack of 2)",2,116,"LOW"
"Shubh kart - Shubhkart Sambrani Cup Black 12n",12,696,"LOW"
"Dettol Original Germ Protection Alcohol Based Hand Sanitizer",50,50,"LOW"
"Beetroot",500,500,"LOW"
"MTR Dal Makhani",300,300,"LOW"
"Praakritik Orrganic Cold Pressed Sesame Oil",100,100,"LOW"
"The Laughing Cow Cheese Slices",200,200,"LOW"
"Arden Eggs White",12,696,"LOW"
"24 Mantra Organic Moong Dal",500,500,"LOW"
"Popular Essentials Guntur Chilli Stemless",100,100,"LOW"
"Keya Wonder Red Hot Chilli Flakes",40,40,"LOW"
"Sugarfree Gold Low Calorie Sweetner ",100,100,"LOW"
"Everest Kitchen King Masala",50,50,"LOW"
"Godrej Real Good Chicken Leg Boneless",450,450,"LOW"
"Mother's Recipe Pickle - Red Stuffed Chilli",400,400,"LOW"
"Bombay Shaving Company Sensitive Cartridges",2,116,"LOW"
"Godrej Real Good Chicken Lollypop",10,580,"LOW"
"L'Oreal Paris Dream Lengths Shampoo",192,192,"LOW"
"Yoga Bar Breakfast Protein Bar - Blueberry Pie",50,50,"LOW"
"Popular Essentials Brown Sugar",500,500,"LOW"
"Weikfield Falooda Mix - Kesar Pista",200,200,"LOW"
"Satyam Chilli  Bedgi",100,100,"LOW"
"Yoga Bar Multigrain Energy Bar Nuts And Seeds",38,38,"LOW"
"Whisper Choice Regular Sanitary Pads",20,58,"LOW"
"Himalaya Anti Dandruff Shampoo",200,200,"LOW"
"Britannia Classic Little Hearts ",75,75,"LOW"
"Yummiez Veg Cheese Fingers Pouch",400,400,"LOW"
"Popular Essentials Cooking Soda",200,200,"LOW"
"Weikfield Cooker Cake Mix - Vanilla",150,150,"LOW"
"MTR Instant Gulab Jamun Mix",500,500,"LOW"
"Britannia Tiger Krunch Biscuits",400,400,"LOW"
"Parle Hide & Seek Choco Rolls",120,120,"LOW"
"Popular Essentials Green Moong Chilka/Chilka (Un-Polished)",500,500,"LOW"
"TilSona Til Oil",500,500,"LOW"
"Knorr Sweet Corn Chicken Soup",42,42,"LOW"
"The Whole Truth Peanut Cocoa Protein Bar No Sugar",52,52,"LOW"
"Dabur Gulabari Rose Water Daily Glow",250,250,"LOW"
"Amul Slim Trim Skimmed Milk",1,1000,"medium"
"Gala Scrubber Cleaner Home Everyday Scrub",1,58,"LOW"
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",600,600,"LOW"
"Pedigree Dog Food Adult Chicken & Veg",3,3000,"medium"
"Chef's Basket Durum Wheat Penne Pasta",500,500,"LOW"
"Popular Essentials Moth Whole",500,500,"LOW"
"Pantai Red Curry Paste",114,114,"LOW"
"RRO Primio Refined Groundnut (Jar)",2,2000,"medium"
"Johnson's Baby Soap",150,150,"LOW"
"Johnson's Baby Powder",400,400,"LOW"
"Neutrogena Deep Clean Foaming Cleanser",50,50,"LOW"
"Johnson's Baby Top To Toe Bath Body Wash",210,210,"LOW"
"Maggi Hot & Sweet Tomato Chilli Sauce",500,500,"LOW"
"Del Monte Red Chili Sauce",190,190,"LOW"
"Britannia Pure Magic - Chocolush",100,100,"LOW"
"Britannia Marie Gold Biscuits Packet",250,250,"LOW"
"Kellogg's Almonds And Cranberries Granola",460,460,"LOW"
"McCain French Fries",420,420,"LOW"
"Veet Hair Removal Cream (Normal Skin)",50,50,"LOW"
"Ching's Secret Veg Hakka Noodles",600,600,"LOW"
"Popular Essentials Anjeer",100,100,"LOW"
"Godrej Ezee Liquid Detergent",1,1000,"medium"
"Tata Sampann Unpolished Rajma (Chitra)",500,500,"LOW"
"Parachute Oil ",100,100,"LOW"
"Fortune Kachi Ghani Mustard Oil Bottle",1,1000,"medium"
"Epigamia Natural Greek Yogurt",90,90,"LOW"
"Popular Essentials Black Pepper",100,100,"LOW"
"Britannia Cheese Garlic Bread",300,300,"LOW"
"Everest Shahi Paneer Masala",50,50,"LOW"
"Dabur 100% Pure Honey",400,400,"LOW"
"Dlecta Cheese Cubes 2",200,200,"LOW"
"Dabur Ginger Garlic Paste",200,200,"LOW"
"Popular Essentials Buckwheat Flour (Kuttu Atta)",500,500,"LOW"
"Popular Essentials Coriander Seeds",50,50,"LOW"
"The Bake Shop Maska & Multigrain Cheese Crackers",150,100,"LOW"
"Aashirvaad Breakfast Instant Mix - Rice Idli",200,200,"LOW"
"Everest Rajma Masala",50,50,"LOW"
"Whisper Choice Regular Wing Sanitary Pad",7,406,"LOW"
"Everest Dry Ginger Powder",100,100,"LOW"
"Pantai Oyster Sauce",200,200,"LOW"
"Eno Cooling Sachets - Cool Mint, 6 Pieces Carton",5,5,"LOW"
"Baker Street Suji Rusk Large Pack",200,200,"LOW"
"The Bake Shop Masala Cheese Crackers",100,100,"LOW"
"Patanjali Pure Honey",250,250,"LOW"
"Fresh Mutton Curry Cut Cubes (Halal)",500,500,"LOW"
"Nestle Lactogen Stage 2 Follow-up Formula Powder",400,400,"LOW"
"Gillette Sensitive Shaving Foam",418,418,"LOW"
"Ariel Complete Detergent Washing Powder 500 g  + 200 g Free",500,500,"LOW"
"Kellogg's Real Almond & Honey Corn Flakes",1,1000,"medium"
"Sapota",6,348,"LOW"
"Colocasia ",500,500,"LOW"
"Colgate Total 12 Whole Mouth Protection Toothpaste",120,120,"LOW"
"Jivana Jaggery",950,950,"LOW"
"Everest Chole Masala",50,50,"LOW"
"Mothers Recipe Tamrind Date Chutney ",200,200,"LOW"
"Britannia Nutri Choice Ragi Cookies",150,150,"LOW"
"Om Bhakti Wick for Diya - Cotton Long Batti ",75,75,"LOW"
"Ching's Secret Hot Garlic Instant Noodles",480,480,"LOW"
"Sunfeast Dark Fantasy Bourbon Bliss",150,150,"LOW"
"Karachi Bakery Cashew Biscuits ",400,400,"LOW"
"Oral-B Charcoal Deep Clean Stain Removal Toothbrush Soft",4,232,"LOW"
"Kellogg's Original Corn Flakes",875,875,"LOW"
"Head & Shoulders Shampoo + Conditioner - 2-In-1, Cool Menthol",340,340,"LOW"
"Yummiez Green Peas",500,500,"LOW"
"Engage M1 Perfume Spray for Men ",120,120,"LOW"
"Popular Essentials Bajra Whole",1,1000,"medium"
"Godrej No.1 Bathing Soap – Lime & Aloe Vera",100,500,"LOW"
"Gala EzeeSqueegee Wiper",1,58,"LOW"
"Kitchen Of India Ready-To-Eat Pindi Channa",285,285,"LOW"
"Ginger",200,200,"LOW"
"Knorr Classic Tomato Soup With 100% Real Vegetabls, No Added Preservatives",53,53,"LOW"
"24 Mantra Bura Sugar (Demerara)",500,500,"LOW"
"Hit Cockroach Killer Spray ",200,200,"LOW"
"Nivea Body Lotion Aloe Hydration For Normal Skin ",200,200,"LOW"
"Sunfeast Yumfills Whoopie Pie",276,253,"LOW"
"Dabur Nature Care Isabgol - Double Action",100,100,"LOW"
"Tata Sampann High Protein Kali Urad",500,500,"LOW"
"Pantene Advanced Hair Fall Solution Shampoo - Total Damage Care",340,340,"LOW"
"Popular Essentials Urad Gola White(Un-Polished)",500,500,"LOW"
"TGFC Chicken Boneless Fresh Whole",500,500,"LOW"
"New Kellogg's Muesli with 21% Fruit, Nut & Seeds",500,500,"LOW"
"Ching's Secret Singapore Curry Instant Noodles",60,60,"LOW"
"Dabur Regular Hajmola",120,120,"LOW"
"Borges Durum Wheat Fusilli Pasta ",500,500,"LOW"
"Maggi Masala Ae Magic",72,72,"LOW"
"Sunfeast Pasta Treat Pack of Tomato Cheese",65,65,"LOW"
"Open Secret Choco Almond Tiffin Pack",25,25,"LOW"
"Pillsbury Pancake Mix - Funfetti",162,162,"LOW"
"Unibic Fruit & Nut Cookies",67,67,"LOW"
"Everest Hingraj Powder",50,50,"LOW"
"Epicurea Sushi Rice",500,500,"LOW"
"Gillette Mach 3 Turbo Razor",1,58,"LOW"
"Godrej Aer Power Pocket Berry Rush",10,10,"LOW"
"Veeba Barbeque Sauce",330,330,"LOW"
"Chakaachak Eazo Grass Broom New ",1,58,"LOW"
"Lotte Choco Pie ",168,168,"LOW"
"Aro Aluminium Container with Lid 230 ml",25,25,"LOW"
"McCain Potato Cheese Shotz",250,250,"LOW"
"Ching’s Secret Chowmein Hakka Noodles Masala ",60,60,"LOW"
"Good Knight Fabric Personal Mosquito Repellent Roll On",8,8,"LOW"
"24 Mantra Turmeric Powder",100,100,"LOW"
"Colgate Sensitive Soft Bristles Toothbrush",1,58,"LOW"
"McCain Chilli Cheesy Nuggets",250,250,"LOW"
"Hershey's Chocolate Flavour Syrup",680,623,"LOW"
"Catch Black Pepper Sprinkler",50,50,"LOW"
"Ching's Secret Chilli Vinegar",170,170,"LOW"
"Nivea Soft Moisturizing Cream",200,200,"LOW"
