"name","mrp"
"Popular Essentials Black Brown Chana (Un-Polished)","55.00"
"Eno Cooling Sachets - Cool Mint, 6 Pieces Carton","54.00"
"Aashirvaad Superior MP Whole Wheat Atta","53.00"
"Britannia Toastea Premium Bake Rusk","50.00"
"Dabur Ginger Garlic Paste","50.00"
"Maggi Chilly Chow Cuppa Noodles","50.00"
"Mother's Recipe Ginger And Garlic Paste","50.00"
"Popular Essentials Chia Seeds","50.00"
"Weikfield Falooda Mix - Mango","49.00"
"Dabur Gulabari Premium Rose Water","48.00"
"Sunfeast Yippee! Magic Masala Noodles","48.00"
"Everest Tikhalal Hot & Red Chilly Powder","47.00"
"Britannia Milk Bikis Cream Biscuit","45.00"
"Britannia Vita Marie Gold Biscuit","45.00"
"Vim Dishwash Bar","45.00"
"Maggi 2-Minute Instant Noodles - Masala","44.00"
"Tata Sampann Poha","44.00"
"Everest Amchur Powder","42.00"
"Stayfree Secure Dry Cover Extra Large Sanitary Pad","42.00"
"Safal Frozen Corn","41.00"
"Britannia Good Day Cashew Cookies Packet","40.00"
"Epigamia Fruit Yogurt Strawberry","40.00"
"Maggi Magic Cubes Chicken","40.00"
"Patanjali Atta Doodh Rusk","40.00"
"Popular Essentials Brown Sugar","40.00"
"The Bake Shop Whole Wheat Bread","40.00"
"The Bake Shop Whole Wheat Ladi Pav","40.00"
"Satyam Thin Poha Patla","38.00"
"Britannia Bourbon Chocolate Cream Biscuits","35.00"
"Britannia Cheese Garlic Bread","35.00"
"Britannia Nutri Choice Cracker Sugar Free Biscuit","35.00"
"Moong Sprouts","35.00"
"Parle Fab! Jam-In Cream Filled ","35.00"
"Pedigree Puppy Chicken Chunks in Gravy ","35.00"
"Satyam Poha Jada","35.00"
"Sunfeast Dark Fantasy Bourbon Bliss","35.00"
"Sunfeast Dark Fantasy Choco Fills","35.00"
"Tata Tea Gold","35.00"
"Everest Sambhar Masala","34.00"
"Everest Coriander Powder","32.00"
"Whisper Choice Sanitary Pad ","32.00"
"Mother's Recipe Potato Papad","31.00"
"Mothers Recipe Papad - Sabudana With Rock Salt","31.00"
"Britannia Atta Kulcha","30.00"
"Britannia Burger Bun with Sesame Seed","30.00"
"Britannia Marie Gold Biscuits Packet","30.00"
"Cadbury Oreo Creme Biscuit - Vanilla, Original 120 g","30.00"
"Cadbury Oreo Strawberry Bicuits","30.00"
"Dettol Antiseptic Liquid","30.00"
"Everest Cumin Powder (Jeera)","30.00"
"Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings","30.00"
"The Bake Shop Pizza Base Whole Wheat","30.00"
"Britannia Marie Gold Biscuit","28.00"
"Sunfeast Pasta Treat Pack of Tomato Cheese","28.00"
"Amul Lactose Free Milk","25.00"
"Britannia Classic Little Hearts ","25.00"
"Britannia Milk Bikis Milky Sandwich","25.00"
"Britannia Nice Time Biscuit","25.00"
"Britannia Nutri Choice Digestive Biscuits Packet","25.00"
"Britannia Nutri Choice Oats Choco Almond Biscuit","25.00"
"Britannia Treat Jimjam Cream Biscuits ","25.00"
"MTR Vegetable Upma","25.00"
"Sunfeast Nice Biscuit","25.00"
"Ujala Superme For Super Whiteness Of Clothes","25.00"
"Unibic Choco Nut Cookies","25.00"
"Mothers Recipe Rice Papad Ajwain","24.00"
"Vim Dishwash Bar","23.00"
"Aashirvaad Iodised Salt ","22.00"
"Britannia Good Day Cashew Cookies","20.00"
"Dabur Hommade - Imli Sauce Saunth","20.00"
"Kurkure Green Chutney, Rajasthani Style","20.00"
"Popular Essentials Mustard Seeds Rai Big","20.00"
"The Bake Shop Burger Buns","20.00"
"Bauli Moonfils - Vanilla","15.00"
"Bauli Moonfils Choco Cream (With Egg)","15.00"
"Bauli Moonfils Orange Puff Roll","15.00"
"Saffola Oats 100 % Natural","15.00"
"Carrot","13.00"
"Chakaachak Super Steel Scrubber","12.00"
"Beetroot","11.00"
"Britannia 50-50 Maska Chaska Biscuit","10.00"
"Britannia Roll Yo! Choco Swiss Roll (With Egg)","10.00"
"Britannia Roll Yo! Strawberry Swiss Roll","10.00"
"Ching's Chow Mein Hakka Noodles Masala","10.00"
"Good Day Butter Cookies","10.00"
"Rin Detergent Bar","10.00"
"Sunfeast Mom's Magic Cashew & Almond Biscuit","10.00"
